iter	Passed	Remaining
645	13266	17538
646	13286	17516
647	13304	17492
648	13326	17474
649	13343	17448
650	13362	17427
651	13378	17400
652	13401	17383
653	13417	17357
654	13438	17337
655	13458	17315
656	13473	17287
657	13493	17266
658	13513	17245
659	13532	17222
660	13554	17204
661	13575	17184
662	13597	17165
663	13612	17138
664	13632	17117
665	13655	17100
666	13680	17084
667	13703	17067
668	13723	17046
669	13744	17027
670	13765	17006
671	13787	16988
672	13808	16968
673	13832	16951
674	13854	16933
675	13877	16916
676	13899	16897
677	13922	16879
678	13941	16857
679	13962	16837
680	13981	16815
681	14003	16796
682	14025	16776
683	14040	16749
684	14057	16725
685	14076	16703
686	14091	16676
687	14113	16657
688	14134	16637
689	14153	16614
690	14175	16596
691	14200	16580
692	14222	16562
693	14243	16542
694	14262	16520
695	14282	16498
696	14304	16479
697	14324	16458
698	14343	16436
699	14363	16415
700	14385	16396
701	14408	16378
702	14431	16361
703	14452	16341
704	14473	16320
705	14496	16303
706	14519	16285
707	14538	16263
708	14559	16243
709	14580	16223
710	14600	16202
711	14620	16181
712	14640	16159
713	14662	16141
714	14679	16116
715	14702	16098
716	14725	16081
717	14747	16062
718	14769	16043
719	14789	16021
720	14810	16001
721	14831	15981
722	14852	15962
723	14873	15941
724	14895	15922
725	14917	15904
726	14938	15884
727	14958	15862
728	14977	15840
729	14998	15820
730	15019	15800
731	15039	15779
732	15060	15759
733	15084	15742
734	15106	15723
735	15125	15701
736	15147	15681
737	15168	15661
738	15194	15646
739	15218	15629
740	15240	15610
741	15261	15590
742	15285	15573
743	15306	15553
744	15328	15534
745	15349	15513
746	15370	15494
747	15390	15472
748	15410	15451
749	15434	15434
750	15455	15414
751	15479	15396
752	15499	15375
753	15520	15355
754	15541	15335
755	15556	15309
756	15572	15284
757	15587	15258
758	15610	15240
759	15632	15221
760	15654	15202
761	15677	15183
762	15697	15163
763	15717	15141
764	15741	15123
765	15760	15102
766	15781	15082
767	15801	15061
768	15826	15044
769	15850	15027
770	15871	15007
771	15894	14988
772	15916	14969
773	15942	14953
774	15962	14933
775	15983	14912
776	16006	14893
777	16027	14874
778	16049	14854
779	16070	14834
780	16087	14810
781	16111	14793
782	16134	14774
783	16155	14754
784	16176	14734
785	16197	14713
786	16220	14695
787	16240	14674
788	16261	14654
789	16283	14634
790	16306	14616
791	16329	14597
792	16350	14577
793	16373	14558
794	16395	14539
795	16420	14522
796	16441	14502
797	16461	14480
798	16476	14455
799	16498	14436
800	16517	14414
801	16536	14392
